cell_id,district,latitude,longitude,spatial_block_id,slope_mean,elevation_mean,curvature_mean,twi_mean,terrain_susceptibility_score,terrain_susceptibility_class,pu_terrain_similarity,pu_similarity_class,primary_terrain_contributors,label_status,historical_event_id
KOH_00091,Kohima,25.703406,93.919055,BLK_KOH_R15_C20,15.275108,894.235413,0.121258,5.77176,43.58,LOW,0.6172,MODERATE_TERRAIN_SIMILARITY,"Slope (49%), TWI (25%), Curvature (11%), Relief (15%)",UNKNOWN,
KOH_00092,Kohima,25.707732,93.919307,BLK_KOH_R15_C20,24.604254,835.524048,0.036672,5.596728,62.58,MODERATE,0.7838,HIGH_TERRAIN_SIMILARITY,"Slope (51%), TWI (16%), Curvature (11%), Relief (22%)",UNKNOWN,
KOH_00093,Kohima,25.711096,93.920644,BLK_KOH_R15_C20,26.860348,696.254822,-0.073968,5.461303,57.83,MODERATE,0.6575,MODERATE_TERRAIN_SIMILARITY,"Slope (56%), TWI (16%), Curvature (16%), Relief (12%)",UNKNOWN,
KOH_00094,Kohima,25.609213,93.923826,BLK_KOH_R13_C20,28.786539,1789.16687,-0.014328,5.428212,66.5,MODERATE,0.585,MODERATE_TERRAIN_SIMILARITY,"Slope (52%), TWI (13%), Curvature (12%), Relief (23%)",UNKNOWN,
KOH_00095,Kohima,25.613084,93.923344,BLK_KOH_R13_C20,16.627256,1689.989624,-0.094418,6.422972,62.19,MODERATE,0.6507,MODERATE_TERRAIN_SIMILARITY,"Slope (43%), TWI (24%), Curvature (15%), Relief (18%)",UNKNOWN,
KOH_00096,Kohima,25.617598,93.923377,BLK_KOH_R13_C20,18.816792,1672.337891,-0.083607,6.039737,56.95,MODERATE,0.7587,HIGH_TERRAIN_SIMILARITY,"Slope (48%), TWI (22%), Curvature (16%), Relief (14%)",UNKNOWN,
KOH_00097,Kohima,25.622112,93.923412,BLK_KOH_R13_C20,21.843702,1769.539795,-0.037453,6.001701,70.25,HIGH,0.413,MODERATE_TERRAIN_SIMILARITY,"Slope (49%), TWI (18%), Curvature (12%), Relief (21%)",UNKNOWN,
KOH_00098,Kohima,25.626627,93.923447,BLK_KOH_R13_C20,16.496582,1902.56897,-0.066409,6.825298,55.96,MODERATE,0.2912,LOW_TERRAIN_SIMILARITY,"Slope (36%), TWI (32%), Curvature (16%), Relief (16%)",UNKNOWN,
KOH_00099,Kohima,25.631141,93.923481,BLK_KOH_R14_C20,17.026571,2048.963135,0.003324,6.289978,51.94,MODERATE,0.2972,LOW_TERRAIN_SIMILARITY,"Slope (40%), TWI (28%), Curvature (14%), Relief (18%)",UNKNOWN,
KOH_00100,Kohima,25.635656,93.923516,BLK_KOH_R14_C20,15.663809,2164.132568,0.050431,6.203746,56.05,MODERATE,0.3119,LOW_TERRAIN_SIMILARITY,"Slope (48%), TWI (25%), Curvature (11%), Relief (16%)",UNKNOWN,
