cell_id,district,exposure_status,nearest_road_distance_m,nearest_road_class,road_length_in_cell_m,nearest_hospital_distance_m,nearest_hospital_name,nearest_school_distance_m,nearest_school_name
AIZ_08739,Aizawl,AVAILABLE,36.6,track,1315.0,3210.2,Sub-District Hospital;Saitual,22192.0,Ferrando
AIZ_08740,Aizawl,AVAILABLE,16.1,residential,1702.2,2726.8,Sub-District Hospital;Saitual,22007.5,Ferrando
AIZ_08741,Aizawl,AVAILABLE,353.7,trunk,0.0,2250.6,Sub-District Hospital;Saitual,21833.0,Ferrando
AIZ_08742,Aizawl,AVAILABLE,238.8,residential,219.5,1787.4,Sub-District Hospital;Saitual,21668.5,Ferrando
AIZ_08743,Aizawl,AVAILABLE,398.8,residential,0.0,1350.8,Sub-District Hospital;Saitual,21514.5,Ferrando
AIZ_08744,Aizawl,AVAILABLE,623.1,residential,0.0,977.0,Sub-District Hospital;Saitual,21371.0,Ferrando
AIZ_08745,Aizawl,AVAILABLE,123.1,residential,670.4,764.4,Sub-District Hospital;Saitual,21238.3,Ferrando
AIZ_08746,Aizawl,AVAILABLE,281.7,residential,123.7,845.1,Sub-District Hospital;Saitual,21116.7,Ferrando
AIZ_08747,Aizawl,AVAILABLE,543.4,residential,0.0,1159.3,Sub-District Hospital;Saitual,21006.2,Ferrando
AIZ_08748,Aizawl,AVAILABLE,733.1,residential,0.0,1572.8,Sub-District Hospital;Saitual,20907.1,Ferrando
AIZ_08749,Aizawl,AVAILABLE,875.4,residential,0.0,2025.7,Sub-District Hospital;Saitual,20819.6,Ferrando
AIZ_08750,Aizawl,AVAILABLE,891.1,track,0.0,2496.7,Sub-District Hospital;Saitual,20743.7,Ferrando
AIZ_08751,Aizawl,AVAILABLE,504.6,track,0.0,2977.1,Sub-District Hospital;Saitual,20679.7,Ferrando
AIZ_08752,Aizawl,AVAILABLE,44.9,track,341.4,3463.1,Sub-District Hospital;Saitual,20627.5,Ferrando
AIZ_08753,Aizawl,AVAILABLE,409.3,track,0.0,3952.6,Sub-District Hospital;Saitual,20587.4,Ferrando
AIZ_08754,Aizawl,AVAILABLE,826.8,residential,0.0,4444.4,Sub-District Hospital;Saitual,20559.4,Ferrando
AIZ_08755,Aizawl,AVAILABLE,418.6,track,0.0,4937.8,Sub-District Hospital;Saitual,20543.5,Ferrando
AIZ_08756,Aizawl,AVAILABLE,34.1,track,511.8,5432.5,Sub-District Hospital;Saitual,20539.8,Ferrando
AIZ_08757,Aizawl,AVAILABLE,252.9,track,0.0,5928.1,Sub-District Hospital;Saitual,20548.2,Ferrando
AIZ_08758,Aizawl,AVAILABLE,511.4,track,0.0,6424.3,Sub-District Hospital;Saitual,20568.8,Ferrando
AIZ_08759,Aizawl,AVAILABLE,539.2,primary,0.0,6921.1,Sub-District Hospital;Saitual,20601.5,Ferrando
AIZ_08760,Aizawl,AVAILABLE,496.0,primary,0.0,7418.3,Sub-District Hospital;Saitual,20646.3,Ferrando
AIZ_08761,Aizawl,AVAILABLE,362.3,tertiary,0.0,7915.9,Sub-District Hospital;Saitual,20703.1,Ferrando
AIZ_08762,Aizawl,AVAILABLE,41.7,tertiary,1272.9,8413.7,Sub-District Hospital;Saitual,20771.7,Ferrando
AIZ_08763,Aizawl,AVAILABLE,78.1,tertiary,1109.5,8911.8,Sub-District Hospital;Saitual,20852.1,Ferrando
AIZ_08764,Aizawl,AVAILABLE,325.3,tertiary,45.3,9410.1,Sub-District Hospital;Saitual,20944.2,Ferrando
AIZ_08765,Aizawl,AVAILABLE,326.5,tertiary,41.1,9908.6,Sub-District Hospital;Saitual,21047.7,Ferrando
AIZ_08766,Aizawl,AVAILABLE,76.2,tertiary,724.7,10407.2,Sub-District Hospital;Saitual,21162.5,Ferrando
AIZ_08767,Aizawl,AVAILABLE,27.7,tertiary,776.5,10906.0,Sub-District Hospital;Saitual,21288.5,Ferrando
AIZ_08768,Aizawl,AVAILABLE,169.3,tertiary,257.1,11404.8,Sub-District Hospital;Saitual,21425.3,Ferrando
AIZ_08769,Aizawl,AVAILABLE,499.7,tertiary,0.0,11903.8,Sub-District Hospital;Saitual,21573.0,Ferrando
AIZ_08770,Aizawl,AVAILABLE,857.2,tertiary,0.0,12402.8,Sub-District Hospital;Saitual,21731.1,Ferrando
AIZ_08771,Aizawl,AVAILABLE,436.8,tertiary,0.0,12901.9,Sub-District Hospital;Saitual,21899.5,Ferrando
AIZ_08772,Aizawl,AVAILABLE,236.5,tertiary,102.2,13401.1,Sub-District Hospital;Saitual,22077.9,Ferrando
AIZ_08773,Aizawl,AVAILABLE,277.6,tertiary,134.8,13900.3,Sub-District Hospital;Saitual,22266.1,Ferrando
AIZ_08774,Aizawl,AVAILABLE,296.2,tertiary,90.1,14399.6,Sub-District Hospital;Saitual,22463.9,Ferrando
AIZ_08775,Aizawl,AVAILABLE,341.5,residential,0.0,14898.9,Sub-District Hospital;Saitual,22671.0,Ferrando
AIZ_08776,Aizawl,AVAILABLE,608.4,residential,0.0,15398.3,Sub-District Hospital;Saitual,22887.1,Ferrando
AIZ_08777,Aizawl,AVAILABLE,1023.8,residential,0.0,15897.7,Sub-District Hospital;Saitual,23112.1,Ferrando
AIZ_08778,Aizawl,AVAILABLE,1351.9,track,0.0,16397.2,Sub-District Hospital;Saitual,23345.5,Ferrando
AIZ_08779,Aizawl,AVAILABLE,1717.9,track,0.0,16896.7,Sub-District Hospital;Saitual,23587.3,Ferrando
